,Date,Open,High,Low,Close,Adj Close,Volume,Name
341,2020-03-17,16726.949219,17557.039063,16378.94043,17011.529297,17011.529297,198800.0,NIKKEI
342,2020-03-18,17154.080078,17396.839844,16698.460938,16726.550781,16726.550781,177200.0,NIKKEI
343,2020-03-19,16995.769531,17160.970703,16358.19043,16552.830078,16552.830078,198900.0,NIKKEI
344,2020-03-23,16570.570313,17049.029297,16480.949219,16887.779297,16887.779297,170300.0,NIKKEI
345,2020-03-24,17206.880859,18100.390625,17197.140625,18092.349609,18092.349609,147300.0,NIKKEI
346,2020-03-25,18446.800781,19564.380859,18446.800781,19546.630859,19546.630859,147700.0,NIKKEI
347,2020-03-26,19234.769531,19240.289063,18512.810547,18664.599609,18664.599609,128100.0,NIKKEI
348,2020-03-27,19021.970703,19389.429688,18832.210938,19389.429688,19389.429688,148900.0,NIKKEI
349,2020-03-30,18884.070313,19084.970703,18578.199219,19084.970703,19084.970703,121000.0,NIKKEI
350,2020-03-31,19181.900391,19336.189453,18834.160156,18917.009766,18917.009766,122200.0,NIKKEI
351,2020-04-01,18686.119141,18784.25,17871.619141,18065.410156,18065.410156,105800.0,NIKKEI
352,2020-04-02,17934.419922,18132.039063,17707.660156,17818.720703,17818.720703,107300.0,NIKKEI
353,2020-04-03,17951.439453,18059.150391,17646.5,17820.189453,17820.189453,96000.0,NIKKEI
354,2020-04-06,17857.990234,18672.259766,17802.619141,18576.300781,18576.300781,105700.0,NIKKEI
355,2020-04-07,18878.859375,19162.519531,18553.140625,18950.179688,18950.179688,108200.0,NIKKEI
356,2020-04-08,19047.759766,19454.339844,18730.800781,19353.240234,19353.240234,105900.0,NIKKEI
357,2020-04-09,19376.0,19406.960938,19158.550781,19345.769531,19345.769531,82300.0,NIKKEI
358,2020-04-10,19500.070313,19500.070313,19235.960938,19498.5,19498.5,87500.0,NIKKEI
359,2020-04-13,19312.039063,19355.039063,19014.320313,19043.400391,19043.400391,65600.0,NIKKEI
360,2020-04-14,19150.300781,19705.990234,19093.119141,19638.810547,19638.810547,81900.0,NIKKEI
361,2020-04-15,19589.25,19660.679688,19465.949219,19550.089844,19550.089844,94100.0,NIKKEI
362,2020-04-16,19311.300781,19362.169922,19154.410156,19290.199219,19290.199219,81400.0,NIKKEI
363,2020-04-17,19575.849609,19922.070313,19554.699219,19897.259766,19897.259766,87800.0,NIKKEI
364,2020-04-20,19689.849609,19784.380859,19611.789063,19669.119141,19669.119141,65000.0,NIKKEI
365,2020-04-21,19479.830078,19529.060547,19193.220703,19280.779297,19280.779297,79400.0,NIKKEI
366,2020-04-22,19109.179688,19137.949219,18858.25,19137.949219,19137.949219,76400.0,NIKKEI
367,2020-04-23,19313.039063,19429.439453,19221.539063,19429.439453,19429.439453,72600.0,NIKKEI
368,2020-04-24,19331.859375,19352.240234,19175.380859,19262.0,19262.0,84700.0,NIKKEI
369,2020-04-27,19410.839844,19819.060547,19410.179688,19783.220703,19783.220703,77600.0,NIKKEI
370,2020-04-28,19776.179688,19841.779297,19638.480469,19771.189453,19771.189453,68600.0,NIKKEI
371,2020-04-30,20105.679688,20365.890625,20084.830078,20193.689453,20193.689453,103400.0,NIKKEI
372,2020-05-01,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600.0,NIKKEI
373,2020-05-07,19468.519531,19720.869141,19448.929688,19674.769531,19674.769531,82900.0,NIKKEI
374,2020-05-08,19972.089844,20179.089844,19894.580078,20179.089844,20179.089844,82200.0,NIKKEI
375,2020-05-11,20333.730469,20534.880859,20285.039063,20390.660156,20390.660156,76200.0,NIKKEI
376,2020-05-12,20413.230469,20457.369141,20293.970703,20366.480469,20366.480469,67700.0,NIKKEI
377,2020-05-13,20140.919922,20329.890625,20056.460938,20267.050781,20267.050781,79500.0,NIKKEI
378,2020-05-14,20140.490234,20185.0,19902.929688,19914.779297,19914.779297,76900.0,NIKKEI
379,2020-05-15,20149.789063,20198.25,19832.880859,20037.470703,20037.470703,75200.0,NIKKEI
380,2020-05-18,20097.619141,20197.589844,19999.099609,20133.730469,20133.730469,71900.0,NIKKEI
381,2020-05-19,20469.519531,20659.460938,20433.449219,20433.449219,20433.449219,93000.0,NIKKEI
382,2020-05-20,20454.490234,20684.460938,20454.029297,20595.150391,20595.150391,71800.0,NIKKEI
383,2020-05-21,20692.589844,20734.910156,20503.869141,20552.310547,20552.310547,62900.0,NIKKEI
384,2020-05-22,20583.949219,20615.119141,20334.990234,20388.160156,20388.160156,71100.0,NIKKEI
385,2020-05-25,20653.410156,20741.650391,20584.060547,20741.650391,20741.650391,55100.0,NIKKEI
386,2020-05-26,20927.960938,21328.339844,20918.109375,21271.169922,21271.169922,87200.0,NIKKEI
387,2020-05-27,21249.310547,21475.679688,21142.720703,21419.230469,21419.230469,112000.0,NIKKEI
388,2020-05-28,21612.900391,21926.289063,21580.5,21916.310547,21916.310547,134000.0,NIKKEI
389,2020-05-29,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200.0,NIKKEI
390,2020-06-01,21910.890625,22161.390625,21898.990234,22062.390625,22062.390625,72200.0,NIKKEI
391,2020-06-02,22175.519531,22401.789063,22118.400391,22325.609375,22325.609375,77900.0,NIKKEI
392,2020-06-03,22649.009766,22818.869141,22462.679688,22613.759766,22613.759766,94100.0,NIKKEI
393,2020-06-04,22885.140625,22907.919922,22501.810547,22695.740234,22695.740234,92000.0,NIKKEI
394,2020-06-05,22613.080078,22865.880859,22563.560547,22863.730469,22863.730469,85600.0,NIKKEI
395,2020-06-08,23121.980469,23178.099609,23028.619141,23178.099609,23178.099609,108500.0,NIKKEI
396,2020-06-09,23135.789063,23185.849609,22933.140625,23091.029297,23091.029297,91500.0,NIKKEI
397,2020-06-10,22939.0,23175.820313,22900.300781,23124.949219,23124.949219,75600.0,NIKKEI
398,2020-06-11,22848.019531,22939.390625,22466.539063,22472.910156,22472.910156,105900.0,NIKKEI
399,2020-06-12,22082.119141,22350.300781,21786.929688,22305.480469,22305.480469,120500.0,NIKKEI
400,2020-06-15,22135.269531,22251.830078,21529.830078,21530.949219,21530.949219,78500.0,NIKKEI
401,2020-06-16,21912.289063,22624.140625,21899.480469,22582.210938,22582.210938,100100.0,NIKKEI
402,2020-06-17,22517.140625,22536.380859,22318.070313,22455.759766,22455.759766,72500.0,NIKKEI
403,2020-06-18,22363.880859,22432.25,22125.349609,22355.460938,22355.460938,65200.0,NIKKEI
404,2020-06-19,22515.75,22523.660156,22352.160156,22478.789063,22478.789063,97000.0,NIKKEI
405,2020-06-22,22353.689453,22575.740234,22311.939453,22437.269531,22437.269531,54600.0,NIKKEI
406,2020-06-23,22636.060547,22693.890625,22257.140625,22549.050781,22549.050781,0.0,NIKKEI
407,2020-06-24,22541.009766,22663.289063,22479.859375,22534.320313,22534.320313,67000.0,NIKKEI
408,2020-06-25,22287.869141,22423.410156,22165.140625,22259.789063,22259.789063,80800.0,NIKKEI
409,2020-06-26,22424.369141,22589.140625,22408.269531,22512.080078,22512.080078,66600.0,NIKKEI
410,2020-06-29,22255.050781,22281.380859,21969.589844,21995.039063,21995.039063,73700.0,NIKKEI
411,2020-06-30,22335.099609,22448.300781,22273.380859,22288.140625,22288.140625,74200.0,NIKKEI
412,2020-07-01,22338.300781,22360.310547,22039.560547,22121.730469,22121.730469,67400.0,NIKKEI
413,2020-07-02,22182.679688,22267.509766,22072.109375,22145.960938,22145.960938,73600.0,NIKKEI
414,2020-07-03,22266.910156,22312.439453,22154.970703,22306.480469,22306.480469,51700.0,NIKKEI
415,2020-07-06,22341.269531,22734.109375,22325.75,22714.439453,22714.439453,58000.0,NIKKEI
416,2020-07-07,22649.900391,22742.279297,22540.439453,22614.689453,22614.689453,62700.0,NIKKEI
417,2020-07-08,22481.609375,22667.949219,22438.650391,22438.650391,22438.650391,64900.0,NIKKEI
418,2020-07-09,22442.300781,22679.080078,22434.380859,22529.289063,22529.289063,65200.0,NIKKEI
419,2020-07-10,22534.970703,22563.679688,22285.070313,22290.810547,22290.810547,78800.0,NIKKEI
420,2020-07-13,22591.810547,22784.740234,22561.470703,22784.740234,22784.740234,71200.0,NIKKEI
421,2020-07-14,22631.869141,22677.019531,22538.779297,22587.009766,22587.009766,61000.0,NIKKEI
422,2020-07-15,22817.910156,22965.560547,22800.109375,22945.5,22945.5,72600.0,NIKKEI
423,2020-07-16,22907.960938,22925.900391,22739.419922,22770.359375,22770.359375,89400.0,NIKKEI
424,2020-07-17,22807.570313,22857.820313,22643.519531,22696.419922,22696.419922,55900.0,NIKKEI
425,2020-07-20,22772.070313,22788.529297,22580.189453,22717.480469,22717.480469,50000.0,NIKKEI
426,2020-07-21,22789.380859,22925.580078,22780.220703,22884.220703,22884.220703,68600.0,NIKKEI
427,2020-07-22,22791.75,22855.310547,22732.919922,22751.609375,22751.609375,65400.0,NIKKEI
428,2020-07-27,22495.949219,22741.130859,22429.570313,22715.849609,22715.849609,71800.0,NIKKEI
429,2020-07-28,22735.019531,22842.189453,22646.220703,22657.380859,22657.380859,67800.0,NIKKEI
430,2020-07-29,22543.890625,22584.869141,22366.339844,22397.109375,22397.109375,74300.0,NIKKEI
431,2020-07-30,22489.240234,22506.599609,22334.710938,22339.230469,22339.230469,77800.0,NIKKEI
432,2020-07-31,22267.589844,22295.050781,21710.0,21710.0,21710.0,106600.0,NIKKEI
433,2020-08-03,21947.580078,22214.589844,21919.830078,22195.380859,22195.380859,84000.0,NIKKEI
434,2020-08-04,22379.740234,22603.820313,22379.740234,22573.660156,22573.660156,89100.0,NIKKEI
435,2020-08-05,22479.720703,22554.199219,22356.25,22514.849609,22514.849609,74000.0,NIKKEI
436,2020-08-06,22471.710938,22587.75,22362.890625,22418.150391,22418.150391,62600.0,NIKKEI
437,2020-08-07,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700.0,NIKKEI
438,2020-08-11,22505.509766,22760.869141,22497.070313,22750.240234,22750.240234,99300.0,NIKKEI
439,2020-08-12,22747.439453,22874.369141,22670.740234,22843.960938,22843.960938,90800.0,NIKKEI
440,2020-08-13,23123.359375,23316.689453,23111.5,23249.609375,23249.609375,84800.0,NIKKEI
441,2020-08-14,23323.919922,23338.789063,23222.849609,23289.359375,23289.359375,59800.0,NIKKEI
442,2020-08-17,23189.480469,23248.75,23068.529297,23096.75,23096.75,43600.0,NIKKEI
443,2020-08-18,23097.800781,23128.179688,22948.890625,23051.080078,23051.080078,55600.0,NIKKEI
444,2020-08-19,22997.929688,23149.849609,22953.599609,23110.609375,23110.609375,50100.0,NIKKEI
445,2020-08-20,23003.580078,23078.359375,22851.830078,22880.619141,22880.619141,50200.0,NIKKEI
446,2020-08-21,23022.759766,23135.429688,22920.300781,22920.300781,22920.300781,51200.0,NIKKEI
447,2020-08-24,22913.199219,23012.710938,22862.539063,22985.509766,22985.509766,40600.0,NIKKEI
448,2020-08-25,23242.740234,23431.039063,23225.390625,23296.769531,23296.769531,75300.0,NIKKEI
449,2020-08-26,23257.050781,23348.800781,23203.0,23290.859375,23290.859375,47800.0,NIKKEI
450,2020-08-27,23311.039063,23323.070313,23177.849609,23208.859375,23208.859375,52700.0,NIKKEI
451,2020-08-28,23232.300781,23376.130859,22594.789063,22882.650391,22882.650391,98100.0,NIKKEI
452,2020-08-31,23147.140625,23342.320313,23102.609375,23139.759766,23139.759766,81000.0,NIKKEI
453,2020-09-01,23089.630859,23206.660156,23047.769531,23138.070313,23138.070313,59600.0,NIKKEI
454,2020-09-02,23261.089844,23287.400391,23170.820313,23247.150391,23247.150391,52600.0,NIKKEI
455,2020-09-03,23524.490234,23580.509766,23426.109375,23465.529297,23465.529297,57500.0,NIKKEI
456,2020-09-04,23130.320313,23257.689453,23098.769531,23205.429688,23205.429688,59300.0,NIKKEI
457,2020-09-07,23145.470703,23218.220703,23086.890625,23089.949219,23089.949219,57300.0,NIKKEI
458,2020-09-08,23188.789063,23277.660156,23129.660156,23274.130859,23274.130859,62100.0,NIKKEI
459,2020-09-09,22966.890625,23059.019531,22878.710938,23032.539063,23032.539063,84400.0,NIKKEI
460,2020-09-10,23193.470703,23250.310547,23134.019531,23235.470703,23235.470703,67600.0,NIKKEI
461,2020-09-11,23114.630859,23412.929688,23114.630859,23406.490234,23406.490234,76900.0,NIKKEI
462,2020-09-14,23431.160156,23582.210938,23429.419922,23559.300781,23559.300781,65400.0,NIKKEI
463,2020-09-15,23438.830078,23477.859375,23351.349609,23454.890625,23454.890625,61800.0,NIKKEI
464,2020-09-16,23425.230469,23506.449219,23397.429688,23475.529297,23475.529297,63000.0,NIKKEI
465,2020-09-17,23416.619141,23446.390625,23272.230469,23319.369141,23319.369141,61100.0,NIKKEI
466,2020-09-18,23321.189453,23398.460938,23290.189453,23360.300781,23360.300781,82600.0,NIKKEI
467,2020-09-23,23245.890625,23370.130859,23154.449219,23346.490234,23346.490234,77000.0,NIKKEI
468,2020-09-24,23215.0,23234.720703,23039.480469,23087.820313,23087.820313,70500.0,NIKKEI
469,2020-09-25,23217.330078,23272.669922,23154.660156,23204.619141,23204.619141,72200.0,NIKKEI
470,2020-09-28,23391.960938,23516.039063,23303.029297,23511.619141,23511.619141,82000.0,NIKKEI
471,2020-09-29,23410.5,23622.740234,23347.640625,23539.099609,23539.099609,61300.0,NIKKEI
472,2020-09-30,23478.849609,23522.380859,23170.890625,23185.119141,23185.119141,88200.0,NIKKEI
473,2020-10-01,23184.929688,23184.929688,23184.929688,23184.929688,23184.929688,0.0,NIKKEI
474,2020-10-02,23294.800781,23365.580078,22951.410156,23029.900391,23029.900391,86300.0,NIKKEI
475,2020-10-05,23254.279297,23377.429688,23252.689453,23312.140625,23312.140625,59500.0,NIKKEI
476,2020-10-06,23420.070313,23441.160156,23331.400391,23433.730469,23433.730469,57700.0,NIKKEI
477,2020-10-07,23272.449219,23432.730469,23272.449219,23422.820313,23422.820313,52100.0,NIKKEI
478,2020-10-08,23506.339844,23701.769531,23477.730469,23647.070313,23647.070313,56300.0,NIKKEI
479,2020-10-09,23713.859375,23725.580078,23552.730469,23619.689453,23619.689453,56100.0,NIKKEI
480,2020-10-12,23588.740234,23597.910156,23501.259766,23558.689453,23558.689453,44900.0,NIKKEI
481,2020-10-13,23667.900391,23667.900391,23490.949219,23601.779297,23601.779297,47200.0,NIKKEI
482,2020-10-14,23545.660156,23656.699219,23518.810547,23626.730469,23626.730469,54000.0,NIKKEI
483,2020-10-15,23548.449219,23581.160156,23458.429688,23507.230469,23507.230469,48300.0,NIKKEI
484,2020-10-16,23478.400391,23538.740234,23382.669922,23410.630859,23410.630859,48100.0,NIKKEI
485,2020-10-19,23543.689453,23707.160156,23543.689453,23671.130859,23671.130859,0.0,NIKKEI
